WK_Nummer;WK_Bezeichnung;Wahlberechtigte_2016;Waehler_2016;UngueltigeStimmen_2016;GueltigeStimmen_2016;CDU_2016;GRUENE_2016;SPD_2016;FDP_2016;LINKE_2016;PIRATEN_2016;REP_2016;NPD_2016;OEDP_2016;PARTEI_2016;BUESO_2016;DKP_2016;ALFA_2016;TIERSCHUTZALLIANZ_2016;AFD_2016;ARMINIUS_2016;BUENDNIS_C_2016;EINHEIT_2016;RECHTE_2016;FWG_2016;MENSCHLICHE_WELT_2016;TIERSCHUTZPARTEI_2016;EINZELBEWERBER2016;Wahlberechtigte_2011;Waehler_2011;UngueltigeStimmen_2011;GueltigeStimmen_2011;CDU_2011;GRUENE_2011;SPD_2011;FDP_2011;LINKE_2011;PIRATEN_2011;REP_2011;NPD_2011;OEDP_2011;PARTEI_2011;BUESO_2011;DKP_2011;ALFA_2011;TIERSCHUTZALLIANZ_2011;AFD_2011;ARMINIUS_2011;BUENDNIS_C_2011;EINHEIT_2011;RECHTE_2011;FWG_2011;MENSCHLICHE_WELT_2011;TIERSCHUTZPARTEI_2011;EINZELBEWERBER2011;SONSTIGE_2011
24;Heidenheim;94.314;62.372;615;61.757;15.500;16.098;12.006;3.533;1.816;0;400;327;762;0;0;144;547;0;10.624;0;0;0;0;0;0;0;0;95.583;60.140;782;59.358;22.461;10.759;17.687;1.815;2.130;1.537;1.033;558;1.103;0;0;105;0;0;0;0;0;0;0;0;0;0;0;170
25;Schw_bisch GmÙnd;106.671;76.563;911;75.652;23.763;19.369;10.264;5.406;2.111;628;247;432;487;0;0;0;695;0;12.250;0;0;0;0;0;0;0;0;107.420;71.158;1.073;70.085;30.791;13.209;17.068;2.723;2.036;1.146;1.100;784;400;384;0;0;0;0;0;0;0;0;0;0;0;0;0;444
26;Aalen;121.947;86.149;941;85.208;30.139;21.985;10.356;5.266;2.668;0;453;746;518;0;0;0;774;0;12.303;0;0;0;0;0;0;0;0;122.235;79.878;1.191;78.687;36.480;14.456;17.640;2.648;3.505;1.220;1.344;731;663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;Karlsruhe I;103.271;73.555;608;72.947;15.441;26.427;9.646;5.631;3.470;945;71;151;270;700;0;0;572;0;8.781;0;0;0;61;0;0;781;0;101.962;67.256;802;66.454;20.453;20.040;16.714;3.510;2.000;2.403;328;465;407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134
28;Karlsruhe II;102.308;69.054;582;68.472;14.354;24.046;9.175;4.607;3.333;863;90;193;258;647;0;0;512;0;9.507;0;0;0;62;0;0;825;0;100.751;62.001;794;61.207;18.719;18.528;15.344;2.968;2.310;1.966;343;463;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167
29;Bruchsal;113.214;80.442;1.037;79.405;23.792;19.213;9.460;6.490;1.905;0;465;406;0;989;0;0;960;0;15.614;0;0;0;111;0;0;0;0;112.760;74.154;1.351;72.803;32.269;12.849;18.645;2.980;1.702;1.890;1.149;791;528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Bretten;113.901;82.124;838;81.286;22.098;22.346;9.819;6.759;1.814;761;247;356;426;786;0;0;778;0;15.017;0;0;0;79;0;0;0;0;113.153;75.342;1.128;74.214;29.990;15.937;17.909;3.902;1.603;1.991;886;846;504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;646
31;Ettlingen;94.772;70.066;697;69.369;19.980;20.453;9.584;5.905;1.757;0;131;215;0;732;0;0;834;0;9.713;0;0;0;65;0;0;0;0;95.405;65.747;1.003;64.744;26.529;14.513;16.232;3.108;1.541;1.404;471;470;476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Rastatt;113.801;76.590;946;75.644;19.354;19.974;13.295;4.699;1.758;756;173;303;450;0;0;0;1.497;0;13.290;0;0;0;95;0;0;0;0;114.841;69.274;1.344;67.930;25.941;13.642;20.344;2.817;1.630;1.484;726;663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;683
33;Baden-Baden;91.743;62.983;567;62.416;18.266;20.392;6.270;5.315;1.512;0;147;198;520;0;0;0;708;0;9.022;0;0;0;66;0;0;0;0;92.587;58.230;876;57.354;24.793;14.090;11.263;3.248;1.368;1.031;442;489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630
34;Heidelberg;98.081;69.001;472;68.529;13.166;28.076;8.310;5.514;4.189;0;76;0;477;760;0;0;471;0;7.490;0;0;0;0;0;0;0;0;94.856;63.705;529;63.176;17.720;23.179;14.448;3.364;2.173;1.423;409;0;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
